gl_entry_id,entry_date,gl_account_code,account_description,entry_type,debit_gbp,credit_gbp,policy_reference,period,posted_by,approved
GLE-0000096,2025-04-19,GL-4002,Claims Expense,Reinsurance,11196.16,0.00,POL-0083711,2025-04,system_etl,Y
GLE-0000097,2025-06-05,GL-4002,Claims Expense,Premium Receipt,9067.52,0.00,POL-0086067,2025-06,marcus.webb,Y
GLE-0000098,2025-05-08,GL-4004,Reinsurance Recoveries,Premium Receipt,0.00,27144.97,POL-0067554,2025-05,sophie.clarke,Y
GLE-0000099,2025-05-03,GL-4001,Premium Income,Claims Payment,0.00,30433.58,POL-0123784,2025-05,sophie.clarke,Y
GLE-0000100,2025-05-08,GL-6001,Regulatory Reserve,Claims Payment,21901.23,0.00,POL-0068760,2025-05,raj.patel,Y
GLE-0000101,2025-02-16,GL-5002,Technology Costs,Premium Receipt,46282.79,0.00,POL-0089687,2025-02,marcus.webb,Y
GLE-0000102,2025-06-12,GL-6001,Regulatory Reserve,Reinsurance,11931.34,0.00,POL-0040807,2025-06,marcus.webb,Y
GLE-0000103,2025-02-10,GL-4002,Claims Expense,Reinsurance,0.00,23967.15,POL-0066368,2025-02,system_etl,Y
GLE-0000104,2025-05-28,GL-5001,Operating Costs,Write-off,46310.14,0.00,POL-0094035,2025-05,marcus.webb,Y
GLE-0000105,2025-04-14,GL-5001,Operating Costs,Adjustment,34887.13,0.00,POL-0123603,2025-04,raj.patel,Y
GLE-0000106,2025-03-18,GL-5001,Operating Costs,Adjustment,16785.88,0.00,POL-0110052,2025-03,sophie.clarke,Y
GLE-0000107,2025-06-18,GL-4004,Reinsurance Recoveries,Premium Receipt,38271.04,0.00,POL-0012325,2025-06,marcus.webb,Y
GLE-0000108,2025-02-19,GL-4001,Premium Income,Claims Payment,0.00,8865.45,POL-0066525,2025-02,marcus.webb,Y
GLE-0000109,2025-01-20,GL-6001,Regulatory Reserve,Premium Receipt,0.00,18928.64,POL-0105135,2025-01,marcus.webb,Y
GLE-0000110,2025-05-09,GL-6001,Regulatory Reserve,Write-off,0.00,33182.22,POL-0065936,2025-05,raj.patel,Y
GLE-0000111,2025-03-03,GL-4003,Commission Expense,Write-off,0.00,22881.53,POL-0063523,2025-03,sophie.clarke,Y
GLE-0000112,2025-06-15,GL-4002,Claims Expense,Premium Receipt,0.00,24015.90,POL-0111953,2025-06,marcus.webb,Y
GLE-0000113,2025-02-22,GL-5002,Technology Costs,Commission,0.00,33199.41,POL-0012926,2025-02,sophie.clarke,Y
GLE-0000114,2025-05-04,GL-5001,Operating Costs,Adjustment,3591.39,0.00,POL-0093536,2025-05,sophie.clarke,Y
GLE-0000115,2025-06-24,GL-4003,Commission Expense,Write-off,0.00,17826.05,POL-0041757,2025-06,marcus.webb,Y
GLE-0000116,2025-05-09,GL-4004,Reinsurance Recoveries,Commission,0.00,11339.92,POL-0112810,2025-05,marcus.webb,N
GLE-0000117,2025-04-29,GL-5001,Operating Costs,Premium Receipt,0.00,9831.18,POL-0006910,2025-04,system_etl,Y
GLE-0000118,2025-02-17,GL-4001,Premium Income,Adjustment,30937.93,0.00,POL-0114500,2025-02,marcus.webb,Y
GLE-0000119,2025-05-12,GL-5001,Operating Costs,Premium Receipt,23415.48,0.00,POL-0076741,2025-05,raj.patel,Y
GLE-0000120,2025-01-31,GL-5001,Operating Costs,Premium Receipt,10820.55,0.00,POL-0109310,2025-01,sophie.clarke,Y
GLE-0000121,2025-02-26,GL-5002,Technology Costs,Premium Receipt,5658.27,0.00,POL-0018314,2025-02,system_etl,Y
GLE-0000122,2025-03-15,GL-4002,Claims Expense,Adjustment,47953.69,0.00,POL-0072786,2025-03,marcus.webb,Y
GLE-0000123,2025-03-31,GL-5001,Operating Costs,Commission,0.00,24186.56,POL-0012550,2025-03,system_etl,Y
GLE-0000124,2025-01-12,GL-6001,Regulatory Reserve,Claims Payment,0.00,12523.61,POL-0082540,2025-01,raj.patel,Y
GLE-0000125,2025-03-27,GL-6001,Regulatory Reserve,Premium Receipt,15673.49,0.00,POL-0052656,2025-03,marcus.webb,Y
GLE-0000126,2025-04-08,GL-5002,Technology Costs,Premium Receipt,0.00,3090.41,POL-0028411,2025-04,marcus.webb,Y
GLE-0000127,2025-02-24,GL-5002,Technology Costs,Adjustment,0.00,26186.93,POL-0016488,2025-02,sophie.clarke,Y
GLE-0000128,2025-06-20,GL-4002,Claims Expense,Claims Payment,0.00,41802.53,POL-0120559,2025-06,system_etl,Y
GLE-0000129,2025-04-04,GL-5002,Technology Costs,Write-off,25254.15,0.00,POL-0004451,2025-04,raj.patel,Y
GLE-0000130,2025-06-28,GL-5002,Technology Costs,Claims Payment,0.00,19267.22,POL-0012146,2025-06,marcus.webb,Y
GLE-0000131,2025-05-08,GL-6001,Regulatory Reserve,Write-off,11933.32,0.00,POL-0004645,2025-05,marcus.webb,Y
GLE-0000132,2025-02-18,GL-5001,Operating Costs,Write-off,0.00,13979.49,POL-0056318,2025-02,marcus.webb,Y
GLE-0000133,2025-06-03,GL-5001,Operating Costs,Write-off,0.00,36416.37,POL-0109535,2025-06,marcus.webb,Y
GLE-0000134,2025-05-16,GL-5001,Operating Costs,Claims Payment,0.00,577.87,POL-0120018,2025-05,system_etl,Y
GLE-0000135,2025-05-08,GL-4003,Commission Expense,Commission,0.00,43403.02,POL-0123253,2025-05,sophie.clarke,Y
GLE-0000136,2025-03-15,GL-4003,Commission Expense,Premium Receipt,5668.54,0.00,POL-0104633,2025-03,system_etl,Y
GLE-0000137,2025-01-17,GL-4003,Commission Expense,Commission,0.00,23985.88,POL-0036526,2025-01,raj.patel,Y
GLE-0000138,2025-04-05,GL-4001,Premium Income,Commission,0.00,47212.66,POL-0039939,2025-04,system_etl,Y
GLE-0000139,2025-03-12,GL-6001,Regulatory Reserve,Premium Receipt,0.00,13939.38,POL-0054142,2025-03,system_etl,Y
GLE-0000140,2025-02-11,GL-4003,Commission Expense,Reinsurance,0.00,46649.40,POL-0042566,2025-02,raj.patel,N
GLE-0000141,2025-06-02,GL-4001,Premium Income,Premium Receipt,0.00,38195.23,POL-0093678,2025-06,marcus.webb,Y
GLE-0000142,2025-03-22,GL-5002,Technology Costs,Reinsurance,22262.45,0.00,POL-0111746,2025-03,marcus.webb,Y
GLE-0000143,2025-01-18,GL-4002,Claims Expense,Premium Receipt,12177.51,0.00,POL-0122499,2025-01,sophie.clarke,Y
GLE-0000144,2025-03-18,GL-6001,Regulatory Reserve,Write-off,0.00,37469.42,POL-0117915,2025-03,sophie.clarke,Y
GLE-0000145,2025-01-17,GL-5002,Technology Costs,Adjustment,47699.42,0.00,POL-0123858,2025-01,system_etl,Y
GLE-0000146,2025-05-09,GL-5001,Operating Costs,Adjustment,0.00,36877.29,POL-0001414,2025-05,raj.patel,Y
GLE-0000147,2025-04-13,GL-5002,Technology Costs,Claims Payment,0.00,43674.16,POL-0107967,2025-04,raj.patel,Y
GLE-0000148,2025-02-12,GL-5001,Operating Costs,Write-off,0.00,42811.81,POL-0017603,2025-02,system_etl,Y
GLE-0000149,2025-05-12,GL-4003,Commission Expense,Claims Payment,0.00,37594.42,POL-0093717,2025-05,raj.patel,Y
GLE-0000150,2025-04-23,GL-4002,Claims Expense,Commission,0.00,18596.86,POL-0094099,2025-04,marcus.webb,Y
GLE-0000151,2025-06-25,GL-5002,Technology Costs,Claims Payment,0.00,32312.26,POL-0029473,2025-06,system_etl,Y
GLE-0000152,2025-03-10,GL-4001,Premium Income,Claims Payment,49917.67,0.00,POL-0110482,2025-03,system_etl,Y
GLE-0000153,2025-06-14,GL-5001,Operating Costs,Reinsurance,14303.63,0.00,POL-0113890,2025-06,system_etl,Y
GLE-0000154,2025-02-09,GL-4003,Commission Expense,Commission,22824.52,0.00,POL-0027361,2025-02,system_etl,Y
GLE-0000155,2025-02-02,GL-5002,Technology Costs,Commission,27948.17,0.00,POL-0092514,2025-02,sophie.clarke,Y
GLE-0000156,2025-03-14,GL-4001,Premium Income,Reinsurance,20058.25,0.00,POL-0098974,2025-03,raj.patel,Y
GLE-0000157,2025-01-14,GL-4002,Claims Expense,Reinsurance,0.00,18296.60,POL-0033391,2025-01,raj.patel,Y
GLE-0000158,2025-05-13,GL-4001,Premium Income,Commission,0.00,40023.80,POL-0074651,2025-05,sophie.clarke,Y
GLE-0000159,2025-05-14,GL-4003,Commission Expense,Write-off,18776.62,0.00,POL-0046668,2025-05,sophie.clarke,Y
GLE-0000160,2025-02-26,GL-4004,Reinsurance Recoveries,Premium Receipt,39414.84,0.00,POL-0107334,2025-02,raj.patel,N
GLE-0000161,2025-04-16,GL-5001,Operating Costs,Write-off,0.00,36035.68,POL-0059571,2025-04,system_etl,Y
GLE-0000162,2025-05-20,GL-4004,Reinsurance Recoveries,Claims Payment,0.00,25416.96,POL-0066410,2025-05,system_etl,Y
GLE-0000163,2025-01-02,GL-4002,Claims Expense,Claims Payment,0.00,18907.53,POL-0087439,2025-01,marcus.webb,Y
GLE-0000164,2025-06-24,GL-4001,Premium Income,Write-off,0.00,913.63,POL-0117676,2025-06,system_etl,Y
GLE-0000165,2025-01-09,GL-4002,Claims Expense,Premium Receipt,0.00,17664.39,POL-0098016,2025-01,sophie.clarke,N
GLE-0000166,2025-02-14,GL-5001,Operating Costs,Premium Receipt,46975.72,0.00,POL-0044007,2025-02,sophie.clarke,Y
GLE-0000167,2025-05-04,GL-5002,Technology Costs,Write-off,10026.31,0.00,POL-0121978,2025-05,system_etl,Y
GLE-0000168,2025-04-19,GL-5002,Technology Costs,Adjustment,10027.82,0.00,POL-0079381,2025-04,sophie.clarke,Y
GLE-0000169,2025-03-29,GL-4002,Claims Expense,Claims Payment,16230.04,0.00,POL-0030010,2025-03,sophie.clarke,Y
GLE-0000170,2025-04-16,GL-5002,Technology Costs,Reinsurance,0.00,8184.64,POL-0097341,2025-04,marcus.webb,Y
GLE-0000171,2025-02-02,GL-5001,Operating Costs,Claims Payment,14732.91,0.00,POL-0071764,2025-02,system_etl,Y
GLE-0000172,2025-03-02,GL-4004,Reinsurance Recoveries,Write-off,7823.06,0.00,POL-0078973,2025-03,marcus.webb,Y
GLE-0000173,2025-06-17,GL-6001,Regulatory Reserve,Premium Receipt,2483.05,0.00,POL-0082221,2025-06,raj.patel,Y
GLE-0000174,2025-05-05,GL-6001,Regulatory Reserve,Commission,40482.52,0.00,POL-0027269,2025-05,system_etl,Y
GLE-0000175,2025-05-11,GL-6001,Regulatory Reserve,Premium Receipt,0.00,15267.40,POL-0053074,2025-05,sophie.clarke,Y
GLE-0000176,2025-05-30,GL-4003,Commission Expense,Premium Receipt,0.00,28578.53,POL-0120403,2025-05,sophie.clarke,Y
GLE-0000177,2025-03-12,GL-5001,Operating Costs,Premium Receipt,32801.30,0.00,POL-0058000,2025-03,system_etl,Y
GLE-0000178,2025-02-20,GL-4003,Commission Expense,Adjustment,0.00,45519.87,POL-0092625,2025-02,raj.patel,Y
GLE-0000179,2025-04-12,GL-5002,Technology Costs,Write-off,0.00,25296.24,POL-0052330,2025-04,system_etl,Y
GLE-0000180,2025-05-15,GL-5002,Technology Costs,Premium Receipt,46429.39,0.00,POL-0003432,2025-05,raj.patel,Y
GLE-0000181,2025-06-01,GL-4001,Premium Income,Reinsurance,25802.82,0.00,POL-0053813,2025-06,marcus.webb,Y
GLE-0000182,2025-04-17,GL-4003,Commission Expense,Reinsurance,17477.75,0.00,POL-0058791,2025-04,marcus.webb,Y
GLE-0000183,2025-04-26,GL-6001,Regulatory Reserve,Claims Payment,17701.78,0.00,POL-0078398,2025-04,system_etl,Y
GLE-0000184,2025-03-09,GL-4001,Premium Income,Write-off,49836.94,0.00,POL-0020110,2025-03,system_etl,Y
GLE-0000185,2025-05-11,GL-4002,Claims Expense,Claims Payment,0.00,16578.54,POL-0053668,2025-05,sophie.clarke,Y
GLE-0000186,2025-05-15,GL-4004,Reinsurance Recoveries,Reinsurance,30812.66,0.00,POL-0109149,2025-05,sophie.clarke,Y
GLE-0000187,2025-02-25,GL-4002,Claims Expense,Write-off,6687.82,0.00,POL-0112150,2025-02,marcus.webb,Y
GLE-0000188,2025-03-27,GL-4004,Reinsurance Recoveries,Reinsurance,0.00,2771.09,POL-0089025,2025-03,marcus.webb,Y
GLE-0000189,2025-02-28,GL-4004,Reinsurance Recoveries,Adjustment,13133.92,0.00,POL-0052538,2025-02,raj.patel,Y
GLE-0000190,2025-02-26,GL-6001,Regulatory Reserve,Premium Receipt,33912.33,0.00,POL-0002116,2025-02,raj.patel,Y
GLE-0000191,2025-05-26,GL-4002,Claims Expense,Write-off,5264.28,0.00,POL-0121777,2025-05,sophie.clarke,Y
GLE-0000192,2025-06-29,GL-5001,Operating Costs,Claims Payment,0.00,19405.67,POL-0084402,2025-06,marcus.webb,Y
GLE-0000193,2025-03-12,GL-6001,Regulatory Reserve,Reinsurance,1314.04,0.00,POL-0015760,2025-03,marcus.webb,Y
GLE-0000194,2025-03-25,GL-4004,Reinsurance Recoveries,Reinsurance,41469.42,0.00,POL-0064268,2025-03,system_etl,Y
GLE-0000195,2025-04-23,GL-5001,Operating Costs,Commission,0.00,19179.86,POL-0028473,2025-04,raj.patel,Y
GLE-0000196,2025-06-19,GL-4001,Premium Income,Adjustment,49060.92,0.00,POL-0090946,2025-06,sophie.clarke,Y
GLE-0000197,2025-06-16,GL-5002,Technology Costs,Write-off,0.00,34635.32,POL-0104821,2025-06,marcus.webb,Y
GLE-0000198,2025-05-23,GL-4002,Claims Expense,Claims Payment,42789.10,0.00,POL-0097541,2025-05,marcus.webb,Y
GLE-0000199,2025-03-24,GL-5002,Technology Costs,Claims Payment,13397.17,0.00,POL-0036984,2025-03,system_etl,Y
GLE-0000200,2025-06-08,GL-6001,Regulatory Reserve,Commission,0.00,34396.03,POL-0018460,2025-06,system_etl,Y
GLE-0000201,2025-04-26,GL-5002,Technology Costs,Claims Payment,0.00,38671.71,POL-0120982,2025-04,sophie.clarke,Y
GLE-0000202,2025-05-02,GL-5002,Technology Costs,Write-off,0.00,8048.35,POL-0108778,2025-05,sophie.clarke,Y
GLE-0000203,2025-05-20,GL-4003,Commission Expense,Claims Payment,0.00,47959.04,POL-0084049,2025-05,marcus.webb,Y
GLE-0000204,2025-01-03,GL-4003,Commission Expense,Adjustment,29940.22,0.00,POL-0082224,2025-01,system_etl,Y
GLE-0000205,2025-01-06,GL-4004,Reinsurance Recoveries,Write-off,0.00,49675.27,POL-0076304,2025-01,raj.patel,Y
GLE-0000206,2025-06-11,GL-5001,Operating Costs,Adjustment,0.00,15807.14,POL-0007777,2025-06,system_etl,Y
GLE-0000207,2025-06-30,GL-4001,Premium Income,Reinsurance,0.00,5885.86,POL-0121579,2025-06,system_etl,Y
GLE-0000208,2025-06-26,GL-4003,Commission Expense,Claims Payment,19978.49,0.00,POL-0052924,2025-06,sophie.clarke,Y
GLE-0000209,2025-01-01,GL-4002,Claims Expense,Claims Payment,0.00,44282.56,POL-0120734,2025-01,sophie.clarke,Y
GLE-0000210,2025-06-19,GL-5001,Operating Costs,Premium Receipt,38794.17,0.00,POL-0072317,2025-06,sophie.clarke,Y
GLE-0000211,2025-03-17,GL-4003,Commission Expense,Adjustment,49223.67,0.00,POL-0069168,2025-03,sophie.clarke,Y
GLE-0000212,2025-04-03,GL-4004,Reinsurance Recoveries,Write-off,0.00,33364.54,POL-0015798,2025-04,marcus.webb,Y
